id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1381717633905594382,1381717633905594382,2021-04-13 00:15:29 Jordan Daylight Time,2021-04-13,00:15:29,+0300,84311137,alrai,الرأي - أخبار الأردن,,لقاح كورونا بين الضرورة الطبية وعدم الالتزام بالأولوية #صحيفة_الرأي #الأردن #كورونا   https://t.co/2e6Fj1AlTZ,ar,[],['http://alrai.com/article/10586229'],[],0,1,3,"['صحيفة_الرأي', 'الأردن', 'كورونا']",[],https://twitter.com/alrai/status/1381717633905594382,False,,0,,Amman,,,,,,[],,,,
1381717312147951620,1381717312147951620,2021-04-13 00:14:12 Jordan Daylight Time,2021-04-13,00:14:12,+0300,110345797,khaberni,خبرني  Khaberni,,100 ألف شخص تلقوا لقاح كورونا بإربد  https://t.co/SiegpHMQS8,ar,[],['https://www.khaberni.com/news/416790'],[],1,0,3,[],[],https://twitter.com/khaberni/status/1381717312147951620,False,,0,,Amman,,,,,,[],,,,
1381701017838960646,1381701017838960646,2021-04-12 23:09:28 Jordan Daylight Time,2021-04-12,23:09:28,+0300,714483660557328384,rumnewsonline,وكالة رم للأنباء,,470 ألفا و967 شخصا تلقوا الجرعة الاولى من لقاح كورونا في الأردن  https://t.co/soYzM2kvPp,ar,[],['http://www.rumonline.net/article/561583#.YHSo6SSXVBY.twitter'],[],0,0,0,[],[],https://twitter.com/rumnewsonline/status/1381701017838960646,False,,0,,Amman,,,,,,[],,,,
1381700843565686789,1381700843565686789,2021-04-12 23:08:46 Jordan Daylight Time,2021-04-12,23:08:46,+0300,2608326001,alordonalyoom,قناة الأردن اليوم,,#الإمارات تتخطى 9 ملايين جرعة من لقاح #كورونا #الأردن_اليوم   https://t.co/Guvwu34YTi,ar,[],['https://alordoon.com/news/archives/1482770'],[],0,0,0,"['الإمارات', 'كورونا', 'الأردن_اليوم']",[],https://twitter.com/Alordonalyoom/status/1381700843565686789,False,,0,,Amman,,,,,,[],,,,
1381692596322496513,1381690527121301510,2021-04-12 22:36:00 Jordan Daylight Time,2021-04-12,22:36:00,+0300,912972080609660928,radwan_assamen,رضوان أبو السمن,,@shegorge أنا معذور ماخذ لقاح,ar,[],[],[],1,0,0,[],[],https://twitter.com/radwan_assamen/status/1381692596322496513,False,,0,,Amman,,,,,,"[{'screen_name': 'shegorge', 'name': 'Shathah', 'id': '483038499'}]",,,,
1381685195250806793,1381685195250806793,2021-04-12 22:06:35 Jordan Daylight Time,2021-04-12,22:06:35,+0300,207026848,assawsananews,Assawsana News,,100 الف شخص تلقوا لقاح كورونا في اربد   https://t.co/oWnzhf7HxG #السوسنة #كورونا,ar,[],['https://www.assawsana.com/portal/pages.php?newsid=503508'],[],0,0,0,"['السوسنة', 'كورونا']",[],https://twitter.com/assawsanaNews/status/1381685195250806793,False,,0,,Amman,,,,,,[],,,,
1381684961233764359,1381684961233764359,2021-04-12 22:05:39 Jordan Daylight Time,2021-04-12,22:05:39,+0300,223625718,petranews,Jordan News Agency,,صحة اربد: 100 الف شخص تلقوا لقاح #كورونا في المحافظة  https://t.co/PpSRN3OjGK #بترا #الاردن,ar,[],['https://petra.gov.jo/Include/InnerPage.jsp?ID=174211&lang=ar&name=news'],[],0,0,2,"['كورونا', 'بترا', 'الاردن']",[],https://twitter.com/Petranews/status/1381684961233764359,False,,0,,Amman,,,,,,[],,,,
1381684159106666501,1381684159106666501,2021-04-12 22:02:28 Jordan Daylight Time,2021-04-12,22:02:28,+0300,204800316,assabeeldotnet,صحيفة السبيل,,صحة إربد: 100 ألف شخص تلقوا لقاح كورونا في المحافظة  https://t.co/pcO7ojw5k2,ar,[],['http://assabeel.net/481845'],[],0,0,0,[],[],https://twitter.com/assabeeldotnet/status/1381684159106666501,False,,0,,Amman,,,,,,[],,,,
1381673062651805697,1381673062651805697,2021-04-12 21:18:23 Jordan Daylight Time,2021-04-12,21:18:23,+0300,1189389906,ssc_jordan,المؤسسة العامة للضمان الإجتماعيSSC_Jordan,,عاجل / الضمان الاجتماعي: سلف للمشتركين الفعّالين اختيارياً بنسبة (8%) من مجموع أجورهم الخاضعة للاقتطاع تصرف على ثلاث دفعات شهرية بسقف (400) دينار للدفعة الشهرية الواحدة  الاستفادة من هذا البرنامج مرتبطاً بشروط وتعليمات لها علاقة بتلقي لقاح فيروس كورونا   https://t.co/gQQbtXtqsM,ar,[],['https://www.facebook.com/440617256007442/posts/3907365335999266/'],[],2,2,4,[],[],https://twitter.com/SSC_Jordan/status/1381673062651805697,False,,0,,Amman,,,,,,[],,,,
1381665966485090308,1381665966485090308,2021-04-12 20:50:11 Jordan Daylight Time,2021-04-12,20:50:11,+0300,110345797,khaberni,خبرني  Khaberni,,39 ألف شخص تلقوا لقاح كورونا الاثنين #الاردن #خبرني   https://t.co/mbyChV8ZNz,ar,[],['https://www.khaberni.com/news/416754'],[],0,0,1,"['الاردن', 'خبرني']",[],https://twitter.com/khaberni/status/1381665966485090308,False,,0,,Amman,,,,,,[],,,,
1381662340026892289,1381662340026892289,2021-04-12 20:35:46 Jordan Daylight Time,2021-04-12,20:35:46,+0300,2256678577,addustournews,جريدة الدستور - Addustour Newspaper,,#عاجل رفع سقف السلف للمستفيدين من برنامج تمكين اقتصادي 2 والضمان تدعو إلى المبادرة للتسجيل لتلقي لقاح كورونا عبر المنصة الرسمية . https://t.co/KHTae8o29p عبر @AddustourJordan  https://t.co/axlQKOHvz6,ar,[],['https://www.addustour.com/articles/1211537'],['https://pbs.twimg.com/media/EyymiJxXMAI-50v.jpg'],0,0,0,['عاجل'],[],https://twitter.com/AddustourNews/status/1381662340026892289,False,,1,https://pbs.twimg.com/media/EyymiJxXMAI-50v.jpg,Amman,,,,,,[],,,,
1381654725746122755,1381654725746122755,2021-04-12 20:05:31 Jordan Daylight Time,2021-04-12,20:05:31,+0300,84311137,alrai,الرأي - أخبار الأردن,,نحو 39 ألف شخص تلقوا لقاح كورونا الاثنين   https://t.co/bVknjgS7kE #صحيفة_الرأي,ar,[],['http://alrai.com/article/10586172/'],[],0,0,5,['صحيفة_الرأي'],[],https://twitter.com/alrai/status/1381654725746122755,False,,0,,Amman,,,,,,[],,,,
1381639859908005889,1381639859908005889,2021-04-12 19:06:26 Jordan Daylight Time,2021-04-12,19:06:26,+0300,84311137,alrai,الرأي - أخبار الأردن,,100 الف شخص تلقوا لقاح كورونا في اربد    https://t.co/qCaO8uOazl #صحيفة_الرأي,ar,[],['http://alrai.com/article/10586168/'],[],0,0,5,['صحيفة_الرأي'],[],https://twitter.com/alrai/status/1381639859908005889,False,,0,,Amman,,,,,,[],,,,
1381633899709751296,1381633899709751296,2021-04-12 18:42:45 Jordan Daylight Time,2021-04-12,18:42:45,+0300,321968374,hawa_jordan,هوا الأردن الإخباري,,اشتراط تلقي لقاح کورونا للاستفادة من أحكام البلاغ 30   https://t.co/rgAUlyjLO1,ar,[],['http://hawajordan.net/jonews/beni-news/142699.html#.YHRp9zhvapo'],[],0,0,0,[],[],https://twitter.com/hawa_jordan/status/1381633899709751296,False,,0,,Amman,,,,,,[],,,,
