id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1377144079880839180,1377144079880839180,2021-03-31 09:21:49 Jordan Daylight Time,2021-03-31,09:21:49,+0300,128490459,palinfoar,المركز الفلسطيني للإعلام,,الكيلة: وصول 25 ألف جرعة لقاح والمنحنى الوبائي بالضفة ينخفض  https://t.co/3CTLlpYC7o,ar,[],[],['https://pbs.twimg.com/media/ExyZPbzUYAUuGa-.jpg'],0,0,8,[],[],https://twitter.com/PalinfoAr/status/1377144079880839180,False,,1,https://pbs.twimg.com/media/ExyZPbzUYAUuGa-.jpg,Amman,,,,,,[],,,,
1372959004754915329,1372959004754915329,2021-03-19 19:11:49 Jordan Standard Time,2021-03-19,19:11:49,+0300,925374968497606656,omar_anzeh,Omar Hiasat,,#السلط  إكسِر عينك بِ ما شاء الله تبارك الرحمن أبوي عمره ٦٧ سنة. سكري ضغط عضلة القلب تعبانة اخذ اصعب لقاح أسترا زينكا ما شاء الله تبارك الرحمن لا يوجد أي اعراض إلَّا الزعل على إغلاق المساجد والحِرِّة بينا  لَقِّح أهلك ونفسك بعد صلاة الإستخارة وعلى الله الشفاء والعافية اللقاح سبب  https://t.co/1t1DLoTMqr,ar,[],[],['https://pbs.twimg.com/media/Ew267g-WUAgtWHI.jpg'],1,1,6,['السلط'],[],https://twitter.com/omar_anzeh/status/1372959004754915329,False,,1,https://pbs.twimg.com/media/Ew267g-WUAgtWHI.jpg,Amman,,,,,,[],,,,
1372117913071714304,1372117913071714304,2021-03-17 11:29:37 Jordan Standard Time,2021-03-17,11:29:37,+0300,128490459,palinfoar,المركز الفلسطيني للإعلام,,الناطق باسم وزارة الصحة برام الله كمال الشخرة: اليوم وغداً سيصلنا 38 ألف جرعة من لقاح فايزر  و24 ألف لقاح استرازنيكا وسنبدأ يوم الأحد القادم بالتطعيم، وبخصوص لقاح استرازنيكا سيتم تخزينه لحين وجود إفتاء علمي بشأنه من منظمة الصحة العالمية.,ar,[],[],[],0,0,6,[],[],https://twitter.com/PalinfoAr/status/1372117913071714304,False,,0,,Amman,,,,,,[],,,,
1372115380131467266,1372115380131467266,2021-03-17 11:19:33 Jordan Standard Time,2021-03-17,11:19:33,+0300,128490459,palinfoar,المركز الفلسطيني للإعلام,,| وسائل اعلام صهيونية : وصول 40 الف جرعة من لقاح فايزر و24 ألف من لقاح استرازينيكا الى الضفة الغربية,ar,[],[],[],0,0,5,[],[],https://twitter.com/PalinfoAr/status/1372115380131467266,False,,0,,Amman,,,,,,[],,,,
1371818567923027977,1371818567923027977,2021-03-16 15:40:08 Jordan Standard Time,2021-03-16,15:40:08,+0300,128490459,palinfoar,المركز الفلسطيني للإعلام,,الوكالة الأوروبية للأدوية: نبحث عن رابط بين لقاح أسترازينيكا وحالات تجلط الدم  https://t.co/2sP80O0TF0,ar,[],[],['https://pbs.twimg.com/media/Ewmtt2lWEAAKtT0.jpg'],0,1,2,[],[],https://twitter.com/PalinfoAr/status/1371818567923027977,False,,1,https://pbs.twimg.com/media/Ewmtt2lWEAAKtT0.jpg,Amman,,,,,,[],,,,
1371743011420377089,1371743011420377089,2021-03-16 10:39:54 Jordan Standard Time,2021-03-16,10:39:54,+0300,128490459,palinfoar,المركز الفلسطيني للإعلام,,#صور الصحة بغزة تطعم المواطنين بالجرعة الثانية من لقاح سبوتنيك  لمن تلقى الجرعة الاولى تصوير : حسن اصليح  https://t.co/5DvP2lPOkc,ar,[],[],"['https://pbs.twimg.com/media/Ewlo-bxXIAAaYMk.jpg', 'https://pbs.twimg.com/media/Ewlo-0oXMAE6LPe.jpg', 'https://pbs.twimg.com/media/Ewlo_gDWQAElev1.jpg', 'https://pbs.twimg.com/media/Ewlo_2PWQAEnGoU.jpg']",0,1,3,['صور'],[],https://twitter.com/PalinfoAr/status/1371743011420377089,False,,1,https://pbs.twimg.com/media/Ewlo-bxXIAAaYMk.jpg,Amman,,,,,,[],,,,
1370926197937410049,1370926197937410049,2021-03-14 04:34:10 Jordan Standard Time,2021-03-14,04:34:10,+0300,572670751,omj95,omar aljaradat ⚔️,,يارب ارزقنا لقاح #للضمير,ar,[],[],[],0,0,0,['للضمير'],[],https://twitter.com/omj95/status/1370926197937410049,False,,0,,Amman,,,,,,[],,,,
1369737466710794245,1369737466710794245,2021-03-10 21:50:35 Jordan Standard Time,2021-03-10,21:50:35,+0300,196096282,bakerarabiat,Baker Arabiat,,إلى أن يرى اللقاح النور.. كونوا لقاح بعض، وتآخوا فكلنا أبنا الأرض,ar,[],[],[],0,0,0,[],[],https://twitter.com/BakerArabiat/status/1369737466710794245,False,,0,,Amman,,,,,,[],,,,
1367856639404081152,1367854590931202056,2021-03-05 17:16:51 Jordan Standard Time,2021-03-05,17:16:51,+0300,1187561389449269248,on0rsyb2wpr63vz,صابر محمد الفقهاء,,@YeniSafakArabic وزيره المانيا اوردوغان مع بعض احنا الثلاثه لانه هذيك هذيك الجزائريه هي الي محل لقاح زي ما بقول لكم بس انا ايش كنت بعرف فاء اتمنى ان اكون بالسلامه,ar,[],[],[],0,0,0,[],[],https://twitter.com/ON0rsYB2wpR63Vz/status/1367856639404081152,False,,0,,Amman,,,,,,"[{'screen_name': 'YeniSafakArabic', 'name': 'يني شفق العربية', 'id': '1598482027'}]",,,,
1367856263745437697,1367856263745437697,2021-03-05 17:15:21 Jordan Standard Time,2021-03-05,17:15:21,+0300,1187561389449269248,on0rsyb2wpr63vz,صابر محمد الفقهاء,,ابره لا لقاح لا دواء لا اي شيء يا مشهد اقدم علي لانه ما فيش اي شيء الا بدون بدله رياضه زي ما بحكوها يعني ماشي بين سنتين وفي اي شيء يعني ولا حدا يقدم على تقيمها من اي واحد ثاني الا بدي استاذني مندوبه باي دين وامسك بايد اردوغان وزيره المان,ar,[],[],[],0,0,0,[],[],https://twitter.com/ON0rsYB2wpR63Vz/status/1367856263745437697,False,,0,,Amman,,,,,,[],,,,
